Nama_Pangan,air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Kalsium(mg),Fosfor(mg),Vit_B1(mg),Vit_B2(mg),Vit_C(mg)
"Ikan tempahas, segar","78,9",101,"15,1","4,1","1,0",32,163,"0,02","0,05",0
"Ikan terbang, segar","76,1",98,"19,6","1,7","1,0",90,190,0,"0,10",0
"Ikan Teri nasi, kering, mentah","34,5",144,"32,5","0,6",0,1,1,"0,10",0,0
"Ikan Teri, bubuk, mentah","15,0",277,"60,0","2,3","1,8","1,209","1,225","0,10",0,0
"Ikan teri, kering, mentah","37,8",170,"33,4","3,0",0,"1,2","1,5","0,15",0,0
"Ikan Teri, kering, tawar, mentah","16,7",331,"68,7","4,2",0,"2,381","1,5","0,10",0,0
"Ikan teri, segar","80,0",74,"10,3","1,4","4,1",972,253,"0,24","0,10",0
"Ikan Teri, tepung, mentah","5,2",347,"48,8","6,4","19,6","4,608","1,2","1,12",0,0
"Ikan titang, segar","78,8",82,"17,4","0,4","2,3",145,130,"0,64","0,03",0
"Ikan tongkol, segar","74,7",100,"13,7","1,5","8,0",92,606,"0,35","0,03",0
"Ikan turi, segar","76,9",96,"19,2","2,0","0,2",340,340,0,0,0
"Ikan, cakalang, segar","73,0",107,"19,6","0,7","5,5",23,242,"0,17","0,05",0
"Ikan, tepung, mentah","4,3",316,"60,1","6,5","22,4","3,196","1,976",0,0,0
Jambal goreng,"13,4",286,"48,5","9,2","2,3",207,457,"0,40",0,0
"Jukku pallu kaloa, masakan","69,4",15,"15,2","4,3","8,8",40,170,"0,30","0,14",0
"Kaholeo, masakan","11,2",413,"28,7","19,8","29,8",909,"1,291","1,34","0,03",0
"Keong, segar","81,0",64,"12,0","1,0","2,0",217,78,0,0,0
"Kepiting, segar","68,1",151,"13,8","3,8","14,1",210,250,"0,05",0,0
"Kerang, asap, mentah","9,3",393,"38,9","13,3","29,4",420,410,"0,30","1,70",0
"Kerang, dendeng, mentah","18,3",357,"41,1","10,0","25,6",217,904,"0,27",0,0
"Kerang, segar","78,2",101,"14,4","2,6","3,9",321,270,"0,01",0,0
"Kodok, segar","81,9",73,"16,4","0,3",0,18,147,"0,14",0,0
"Kura-kura, segar","80,0",83,"19,1","0,2",0,27,87,"0,20",0,0
"Kuro, segar","79,9",87,"16,0","2,2","1,0",75,136,"0,04",0,0
"Lawara penjah, masakan","64,5",207,"7,4","15,4","9,6",114,219,"0,19","0,04",14
"Lokan, segar","80,9",217,"11,0","1,7","5,1",20,390,"0,45","0,07",0
"Model, masakan","83,9",79,"2,2","4,0","8,6",8,33,"0,16","0,02",0
"Mujahir acar kuning, masakan","43,1",330,"17,8","23,4","12,1",154,357,"0,15",0,0
"Parede baleh, masakan","80,0",87,"10,5","2,5","5,5",35,215,"0,24",0,0
Pempek adaan,"62,6",162,"4,9","3,0","27,8",26,116,"0,30","0,03",0
Pempek belida,"61,4",156,"4,2","1,4","31,6",100,55,"0,03",0,0
Pempek kapal selam,"63,4",152,"4,5","2,3","28,2",19,115,"0,20","0,03",0
Pempek kelesan,"53,0",211,"12,3","6,1","26,6",840,176,"0,25",0,0
Pempek kulit,"45,7",243,"5,2","7,3","39,1",16,96,"0,20","0,02",0
Pempek telur,"62,4",156,"4,7","2,7","28,3",13,83,"0,20","0,05",0
Pempek tenggiri,"56,3",173,"7,2","1,2","33,4",164,80,"0,02",0,0
"Pencok lele, masakan","47,5",372,"7,8","36,3","3,5",289,295,"0,12",0,0
"Pinda, masakan","71,0",107,"15,9","0,6","0,4",375,336,"0,89","0,05",0
"Pindang kenari, masakan","80,1",124,"9,5","9,6",0,120,220,0,0,0
"Rajungan, segar","80,2",76,"12,1","2,0","2,4",721,214,"0,20","0,25",0
"Rebon, kering, mentah","21,6",299,"59,4","3,6","3,2","2,306",625,"0,06",0,0
"Rebon, udang kecil, segar","79,0",81,"16,2","1,2","0,7",757,292,"0,04","0,10",0
"Rebung laut, mentah","18,2",320,"7,2","4,2","63,3",240,570,0,0,0
Rusip,"58,5",110,"11,5","2,0","11,7",479,348,"0,04",0,0
"Saboko gurita, masakan","76,2",87,"15,7","1,5","2,6",60,14,0,0,0
"Saboko saltan, masakan","76,0",113,"17,1","3,6","3,0",240,60,0,0,0
"Saboko sardin, masakan","70,0",110,"12,9","4,3","4,9",220,520,0,0,0
Sardines dalam kaleng,"47,1",338,"21,1","27,0","1,0",354,434,"0,10",0,0
Sate Bandeng,"47,1",283,"12,1","16,8","20,9",118,186,"0,02","0,02","0,3"
"Sepi, masakan","66,1",88,"7,9","1,6","10,6",924,350,0,0,0
Tekwan,"86,7",53,"1,9","0,9","9,4",9,41,"0,10","0,02",0
"Teri balado, masakan","25,8",365,"23,7","22,3","17,5",869,348,"0,13",0,0
"Teripang, dendeng, mentah","12,5",462,"39,1","32,4","3,5",499,616,"1,37",0,0
Tumis bandeng,"70,5",189,"11,3","15,7","0,6",56,129,"0,46","0,02",0
Tumis keumamah,"45,7",300,"14,5","20,0","15,5",0,0,"0,63","0,04",7
"Udang galah, segar","79,0",81,"16,5","0,3","3,0",87,167,"0,24","0,03",0
"Udang kering, mentah","14,9",278,"62,6","4,1","2,2",760,510,0,0,0
"Udang papay, mentah","24,5",273,"47,8","3,8","12,5","1,109",789,0,0,0
"Udang, besar, segar","85,5",56,"11,4","0,6","1,2",30,20,"0,14",0,0
"Udang, segar","75,0",91,"21,0","0,2","0,1",136,170,"0,01","0,40",0
"Arrowroot, segar","73,5",102,"1,0","0,2","24,1",28,35,"0,06","0,10",2
Bagea kelapa asin,"3,5",450,"3,2","13,9","78,1",38,38,"0,30",0,0
Bagea kelapa manis,"3,0",452,"1,3","13,8","80,6",38,39,0,0,0
Bagea kenari asin,"2,8",529,"3,2","29,1","63,6",38,40,"0,30",0,0
Bagea kenari manis,"3,1",523,"3,2","28,2","64,2",38,39,"0,30",0,0
Bagea kw 1,"7,2",416,"6,5","9,4","76,3",49,77,"0,08",0,0
Bagea kw 2,"7,9",382,"0,3","3,5","87,2",172,120,"0,02",0,0
"Batatas gembili, segar","76,7",76,"1,1","0,9","16,0",0,40,"0,06",0,0
"Batatas kelapa, ubi, bakar","73,2",110,"1,4","1,1","23,4",1,46,"1,13",0,0
"Batatas kelapa, ubi, kukus","75,7",92,"1,2","0,3","21,0",0,42,"0,28",0,0
"Batatas kelapa, ubi, segar","76,1",89,"1,1","0,1","21,0",0,40,"0,38",0,0
"Batatas tali, ubi, rebus","53,2",182,"2,4","0,4","42,2",1,80,"0,27",0,0
"Belitung, talas, kukus","63,1",145,"1,2","0,4","34,2",21,48,"0,08","0,10",1
"Belitung, talas, segar","63,1",145,"1,2","0,4","34,2",26,54,"0,10","0,10",2
"Bengkuang, segar","85,1",59,"1,4","0,2","12,8",15,18,"0,04","0,10",20
"Bentul (Komba), talas, segar","75,8",98,"1,6","0,7","20,9",44,66,"0,02","0,10",0
"Bentul, talas, kukus","81,1",71,"2,3","0,3","15,4",29,26,"0,06",0,21
Beras Cerdas,"11,3",350,"2,7","1,1","82,3",28,351,"0,02","0,20","0,2"
Beras ganyong,"9,3",364,"3,4","0,7","86,3",4,47,"0,02","0,02","0,2"
Beras Siger,"13,5",344,"1,1","0,2","28,3",32,22,"0,02","0,10","0,2"
Biji nangka/Biji salak,"40,5",262,"2,3","5,4","51,1",60,80,"0,10","1,00",10
Bubur sagu,"62,5",167,"0,2","4,0","33,0",3,3,"9,00",0,0
Cassavastick,"5,6",460,"0,8","18,7","17,2",144,58,"0,19","0,07",0
Ceriping getuk singkong,"7,2",462,"1,2","20,7","67,7","1,248",172,"0,29","0,02",0
"Gadeng/Gadung, kering","20,2",322,"2,4","0,6","76,6",39,22,"0,45","0,02",0
"Gadung, ubi, kukus","77,4",88,"0,6","0,3","20,9",26,47,"0,03",0,0
"Gadung, ubi, segar","74,4",100,"0,9","0,3","23,5",79,66,"0,23",0,2
"Ganyong, rebus","74,1",100,"0,8","0,2","23,8",15,65,"0,04",0,6
"Ganyong, segar","79,9",77,"0,6","0,2","18,4",15,67,"0,10",0,9
Gatot,"12,8",347,"1,3","0,7","83,8",78,44,"0,02","0,10","0,2"
Geblek,"52,1",195,"0,4","1,7","44,4",35,13,"0,02",0,"0,2"
"Gembili, ubi, segar","66,4",131,"1,1","0,2","31,3",14,56,"0,08",0,4
Getuk goreng,"16,5",360,"1,3","6,4","74,3",59,81,"0,21",0,0
Getuk singkong,"49,8",204,"0,5","1,4","47,4",97,52,"0,08",0,0
Gurandil,"47,5",218,"0,5","2,5","48,5",50,25,"0,19",0,0
"Hofa/Ubi hutan, segar","67,9",127,"1,2","0,5","29,5",30,8,"0,30","0,05",0
"Kaburan, ubi, segar","66,5",133,"1,0","0,2","32,2",65,50,"0,01",0,0
Kabuto,"58,9",250,"2,6","2,5","35,4",35,49,"0,10","0,10",0
Kapurung,"79,6",41,"2,0","0,3","7,8",34,12,"0,12","0,25",15
Kecimpring singkong goreng,"3,7",464,"1,2","18,6","73,0",82,52,"0,34",0,0
"Kentang hitam, segar","64,0",142,"0,9","0,4","33,7",34,75,"0,02","0,10",38
"Kentang, segar","83,4",62,"2,1","0,2","13,5",63,58,"0,09","0,10",21
Keremes,"6,7",475,"1,6","25,2","64,4",153,88,0,0,0
"Keribang, ubi, segar","67,0",137,"1,3","1,1","29,8",45,56,0,0,0
Keripik gadung,"4,0",446,"2,8","14,5","76,0",147,52,"0,95",0,0
Keripik kentang,"7,8",448,"2,7","18,8","67,1",25,130,"0,10","0,05",0
Keripik singkong,"4,2",478,"0,9","20,7","72,0",189,101,"0,24",0,0
Keripik singkong berbumbu,"2,2",481,"2,2","19,7","73,6",156,103,"0,31",0,0
Keripik ubi,"6,0",486,"0,2","23,9","67,6",68,92,"0,10","0,10",0
Kerupuk cumi goreng,"3,4",444,"6,9","14,6","71,3",47,375,"0,40","0,10",0
Kerupuk kemplang (ikan) mentah,"14,2",325,"1,8","0,4","78,5",59,268,"0,60","0,10",0
Kerupuk kemplang goreng,"5,8",504,"5,6","28,1","57,1",50,94,"0,31",0,0
Kerupuk kemplang panggang,"9,4",356,"9,7","1,1","76,9",62,129,"0,36",0,0
Kerupuk mie kuning goreng,"7,2",476,"0,1","21,1","71,3",57,36,"0,22",0,0
Kerupuk udang goreng,"4,4",477,"4,7","20,5","68,5",24,188,"0,20",0,0
"Ketela pohon/ singkong, segar","61,4",154,"1,0","0,3","36,8",77,24,"0,06","0,10",31
Ketela pohon/singkong kukus,"61,5",153,"1,2","0,3","36,4",56,22,0,0,20
Kue bangket,"16,1",338,"1,5","1,2","80,3",34,35,"0,30",0,0
Kue putu singkong,"44,2",217,"1,2","0,5","53,2",48,68,"0,10","0,10",0
Lanting getuk,"4,2",422,"0,9","10,8","80,4",206,104,"0,43",0,0
Lepok/Ubi rumput,"55,3",181,"2,8","1,2","39,8",7,50,"0,28","0,05",0
Mi golosor,"82,9",71,"0,2","0,8","15,9",117,5,"0,05","0,02",0
Mie Bendo,"11,5",353,"0,3",0,"88,0",28,14,"0,02",0,"0,2"
Mie Sagu,"52,8",190,"0,2","0,4","46,5",8,7,0,"0,40","0,2"
Ongol-ongol sagu,"75,3",111,"0,3","2,7","21,2",79,15,"0,06",0,0
Oyek,"12,6",351,"0,9","0,9","84,9",60,36,"0,02","0,02","0,2"
Papeda,"84,8",61,"0,2","0,1","14,9",3,1,"0,06",0,0
Rasbi (Beras Ubi),"11,1",394,"2,2","8,8","76,6",68,76,"0,02","0,30","0,2"
Rasi (Beras Singkong),"12,6",350,"0,9","0,4","85,7",42,21,"0,02","0,02","0,2"
"Sagu aren, kering","11,9",355,"0,6","1,1","85,6",91,167,"0,04","0,10",0
"Sagu aren, segar","42,5",231,"0,6","0,2","56,6",20,20,"0,20",0,0
Sagu forno,"31,5",291,"0,5","4,0","63,4",10,20,0,0,0
Sagu kasbi segar,"42,5",230,"0,6","0,2","56,5",20,1,"0,10",0,0
Sagu Lemak (Kue Sagon),"4,3",452,"2,8","14,8","76,8",15,39,"0,32","0,04","0,2"
Sagu lempeng,"13,5",347,"0,9","0,3","85,2",30,30,"0,30",0,0
Sagu manis,"32,6",287,"0,5","3,9","62,4",8,17,0,0,0
Sagu Rendang,"8,2",364,"0,1","0,2","90,5",13,9,"0,02","0,60","0,2"
"Sagu singkong, kering","12,0",362,"0,5","0,3","86,9",0,0,0,0,0
Sagu sinole,"22,0",354,"0,8","8,3","68,9",10,30,0,0,0
"Sente, talas, segar","14,0",353,"0,7","0,2","84,7",11,13,"0,05","0,20",5
Serimping talas kebumen,"4,8",478,"2,5","21,2","69,2",112,118,"0,25",0,0
"Suweg, talas, kukus","75,5",93,"1,5","0,1","21,9",50,58,"0,09",0,0
"Suweg, talas, segar","80,1",74,"1,4","0,1","17,2",42,46,"0,04",0,2
"Talas bogor, kukus","69,2",120,"1,5","0,3","28,2",31,63,"0,05","0,60",2
"Talas bogor, segar","72,4",108,"1,4","0,4","25,0",47,67,"0,06","0,07",4
"Talas pontianak, segar","60,0",163,"2,3","0,5","36,4",45,80,"0,02","0,10",0
"Talas viqueque, segar","70,6",115,"1,8","0,5","25,9",50,220,"0,08","0,10",0
Tapai singkong,"57,4",169,"1,4","0,3","40,2",21,34,0,0,9
Tepung Arrowroot,"13,6",355,"0,7","0,2","85,2",8,22,"0,09",0,0
Tepung Ganyong,"13,6",353,"0,8","1,7","83,6",4,31,"0,02",0,1
Tepung Gaplek,"13,0",345,"2,4","0,4","83,1",18,95,"0,30","0,20","0,2"
"Tepung kentang, kering","13,0",347,"0,3","0,1","85,6",20,30,"0,04",0,0
Tepung Mocaf,"11,9",350,"1,2","0,6","85,0",60,64,"0,02","0,02",2
Tepung Sente,"15,3",326,"4,0","0,4","76,7",41,141,"0,02","0,20","0,2"
Tepung singkong/ Tapioka,"9,1",363,"1,1","0,5","88,2",84,125,"0,04",0,0
Tepung Tales Beneng,"12,2",332,"5,7","0,6","76,1",59,302,"0,02","0,10","0,2"
Tepung Ubi Ungu,"9,4",354,"2,8","0,6","84,4",89,125,"0,40","0,02","0,2"
Tiwul,"11,2",353,"2,4","1,1","83,4",55,95,"0,02","0,02",3
Tiwul Instan,"9,1",395,"3,2","8,5","76,5",81,81,"0,40","0,20",4
Ubi Cilembu,"52,7",186,"1,9","0,2","44,3",37,51,"0,02","0,20","0,3"
Oncom ampas kacang hijau,"13,4",376,"14,9","6,0","65,7",199,110,"0,03",0,0
Oncom kacang hijau + singkong,"16,5",351,"11,0","5,3","65,9",164,113,"0,01",0,0
Oncom kacang tanah pepes,"65,0",132,"12,7","3,8","13,7",133,355,"0,08","0,20",0
Pepes oncom ampas tahu,"80,9",76,"5,2","1,8","10,6",215,66,"0,11",0,0
Rempeyek kacang tanah,"3,9",513,"17,5","32,5","44,3",65,202,"0,10",0,0
Rempeyek kacang tolo,"6,1",451,"11,2","20,2","59,7",156,221,"0,02",0,0
Rempeyek kacang uci,"4,0",497,"17,0","27,6","50,8",166,89,"0,05",0,0
"Saga merah terkupas, mentah","8,1",449,"30,6","25,5","31,9","1,062",161,"0,09","1,50",7
"Saridele, bubuk","3,0",344,"30,0","20,0","43,0",450,500,"0,70","0,16",10
Sayur lebui,"83,9",64,"2,1","0,6","12,5",21,2,0,0,0
Susu kedelai,"87,0",41,"3,5","2,5","5,0",50,45,"0,08","0,05",2
Tahu goreng,"77,3",115,"9,7","8,5","2,5",229,200,"0,01","0,24",0
Tahu telur,"41,8",328,"12,6","19,9","24,6",492,238,"0,42",0,0
"Tahu, mentah","82,2",80,"10,9","4,7","0,8",223,183,"0,01","0,08",0
Takwa,"72,2",148,"13,8","8,5","4,0",140,214,"0,20","0,10",0
Tauco,"54,0",184,"11,4","5,5","22,2",72,463,"0,32","0,20",0
"Tauco cap beruang, cake","11,4",347,"7,4","5,2","67,6",63,106,"0,35",0,0
"Tauco cap DAS, cake","10,2",358,"7,5","4,3","70,4",94,94,"0,29",0,0
Tauco cap meong,"59,7",159,"7,4","4,9","21,3",183,84,"0,46","0,18",0
Tauji cap singa,"30,4",277,"9,1","4,7","49,6",68,106,"0,15",0,0
Tempe bongkrek,"72,5",119,"4,4","3,5","18,3",27,100,"0,08",0,0
Tempe gembus P3G,"81,9",73,"5,7","1,3","10,3",204,80,"0,09","0,10",0
Tempe gembus yogya,"80,7",76,"6,8","0,7","10,6",76,142,"0,79","0,01",0
Tempe kacang babi,"64,0",139,"12,5","0,8","21,9",68,182,"0,10",0,0
Tempe kecipir (kacang belimbing),"58,2",212,"17,5","10,0","12,9",186,160,"0,20",0,0
Tempe kedelai + jagung,"70,6",143,"12,0","5,5","11,4",155,156,"0,33","0,15",0
"Tempe kedelai murni, goreng","36,8",350,"24,5","26,6","10,4",202,296,"0,24","0,60",0
"Tempe kedelai murni, mentah","55,3",201,"20,8","8,8","13,5",155,326,"0,19","0,59",0
Tempe koro benguk,"64,0",141,"10,2","1,3","23,2",42,15,"0,09",0,0
Tempe lamtoro,"66,8",128,"10,7","0,5","21,3",203,108,"0,17",0,2
Tempe lamtoro var. gung dengan kulit,"65,1",146,"11,7","2,3","19,6",128,41,"0,19",0,0
Tempe lamtoro var. gung tanpa kulit,"67,1",131,"18,0","0,8","13,0",95,154,"0,20","0,02",0
Tempe pasar,"68,3",150,"14,0","7,7","9,1",517,202,"0,17","0,44",0
Tempe pasar goreng,"42,9",336,"20,0","28,0","7,8",156,350,"0,10","0,50",0
Tepung hunkwe (pati kacang ijo),"10,0",364,"4,5","1,0","83,5",50,100,0,"0,23",0
Tepung Jalejo,"10,0",388,"19,0","7,5","61,2",101,663,"0,02","0,70",9
Tepung kacang kedelai,"9,0",347,"35,9","20,6","29,9",195,544,"0,77","0,32",0
"Wijen, mentah","5,8",568,"19,3","51,1","18,1","1,125",614,"0,93","0,20",0
Amparan tatak,"58,4",191,"1,3","5,5","34,0",0,0,0,0,0
"Apang kukus, kue","49,5",202,"3,0","0,3","46,7",0,0,0,0,0
"Apem, kue","63,1",148,"2,0","0,5","33,9",0,0,0,0,0
"Bakpia, kue","38,9",272,"8,7","6,7","44,1",194,117,"0,31","1,00",0
Bakwan,"40,5",280,"8,2","10,2","39,0",204,79,"0,08",0,0
Bantal,"52,3",190,"3,3","0,3","43,5",9,0,"0,27","0,02",0
Baruasa,"5,3",417,"6,5","8,2","79,3",0,0,0,0,0
Batar daan,"75,3",107,"2,2","2,2","19,6",20,30,"0,18","0,02",0
"Beras giling var pelita, mentah","11,4",369,"9,5","1,4","77,1",68,171,"0,26",0,0
"Beras giling var rojolele, mentah","12,0",357,"8,4","1,7","77,1",147,81,"0,20","0,02",0
"Beras giling, mentah","12,0",357,"8,4","1,7","77,1",147,81,"0,20","0,08",0
"Beras hitam, mentah","12,9",351,"8,0","1,3","76,9",6,198,"0,21","0,06",0
"Beras jagung kuning, kering, mentah","10,8",358,"5,5","0,1","82,7",20,90,"0,12","0,08",3
"Beras jagung putih, kering, mentah","22,5",307,"4,8","0,1","71,8",17,78,"0,15","0,07",0
"Beras ketan hitam tumbuk, mentah","13,7",360,"8,0","2,3","74,5",10,347,"0,24","0,10",0
"Beras ketan putih tumbuk, mentah","12,9",361,"7,4","0,8","78,4",13,157,"0,28",0,0
"Beras ladang, mentah","9,8",376,"7,5","3,8","78,0",20,110,"0,20","0,20",0
"Beras menir, mentah","12,0",362,"7,7","4,4","73,0",22,272,"0,55","0,04",0
Beras parboiled,"10,0",353,"6,8","0,6","80,0",5,142,"0,22","0,11",0
"Beras tumbuk merah, mentah","14,6",352,"7,3","0,9","76,2",15,257,"0,34","0,05",0
"Beras tumbuk, mentah","11,5",354,"7,8","0,4","79,9",3,112,"0,25","0,22",0
Bihun goreng instan,"9,0",381,"6,1","3,9","80,3",266,151,"0,37",0,0
"Bihun Jagung, mentah","11,3",354,"0,5","0,3","87,4",13,111,"0,02","0,02","0,2"
"Bihun, mentah","12,9",348,"4,7","0,1","82,1",6,35,0,0,0
Bika ambon,"51,5",199,"2,1","1,5","44,4",45,28,"0,10",0,0
Bingka,"44,4",273,"5,3","10,6","39,1",0,0,0,0,0
Biskuit,"2,2",458,"6,9","14,4","75,1",62,87,"0,09","0,15",0
Bobengka,"46,3",225,"5,3","2,6","45,2",0,0,0,0,0
Bolu peca,"55,6",197,"3,3","4,6","35,6",0,0,0,0,0
Brem,"37,4",249,"3,4","0,4","58,0",198,86,"0,34",0,0
Bubur tinotuan (Manado),"80,9",156,"2,3","0,2","15,6",41,20,"0,10","0,04",15
Cake tape,"32,2",323,"4,9","11,5","50,1",131,83,"0,38","0,16",0
Cangkuning,"57,5",204,"2,8","7,5","31,4",0,0,0,0,0
"Cantel, mentah","11,0",366,"11,0","3,3","73,0",28,287,"0,09","0,14",0
Dodol bali,"26,5",298,"3,7","2,1","65,9",70,76,"0,28",0,0
Dodol galamai,"16,5",348,"0,4","3,8","76,1",41,144,"0,03","0,06",0
Dodol kedondong,"26,4",331,"1,9","7,6","63,8",90,55,"0,11",0,5
Dodol manado,"26,1",373,"4,3","16,5","51,9",41,142,"0,04","0,06",0
Emping beras,"13,6",403,"10,6","2,2","85,3",11,240,0,"0,16",0
Gemblong,"36,2",274,"1,7","5,4","55,5",69,55,0,0,0
Gendar goreng,"30,4",407,"6,4","28,2","32,0",216,62,"0,16",0,0
Intip goreng,"6,5",474,"7,6","21,6","62,3",36,64,"0,25","0,03",0
Jagung gerontol,"61,7",156,"2,7","1,3","33,3",51,105,"0,08",0,0
"Jagung kuning pipil, kering, mentah","11,5",366,"9,8","7,3","69,1",30,538,"0,12","0,12",3
"Jagung kuning pipil, rebus","63,7",154,"3,8","3,5","28,4",7,171,"0,08","0,10",0
"Jagung kuning, tepung","12,0",355,"9,2","3,9","73,7",10,256,"0,38","0,02",0
"Jagung muda, kuning, mentah","61,8",147,"5,1","0,7","31,5",6,122,"0,24","0,05",9
"Jagung muda, rebus","53,2",142,"5,0","0,7","30,3",5,105,"0,15","0,08",0
"Jagung pipil var. harapan, kering","11,3",367,"6,2","5,1","76,2",7,354,"0,19","0,08",0
"Jagung pipil var. metro, kering","10,6",368,"5,5","4,6","78,0",7,300,"0,16","0,08",0
Jagung titi,"9,2",374,"9,4","2,2","79,1",14,142,"0,20",0,0
"Jali, mentah","23,0",324,"11,0","4,0","61,0",213,176,"0,14","0,08",0
"Jampang huma, mentah","11,7",350,"6,2","1,4","78,2",329,254,"0,51","0,30",0
Japilus,"3,8",500,"1,2","25,1","67,3",186,29,"0,17","0,03",0
"Jawawut, mentah","11,9",364,"9,7","3,5","73,4",28,311,"0,33","0,28",0
Kakicak,"43,9",296,"3,4","15,1","36,7",0,0,0,0,0
Kambose,"61,5",164,"3,0","2,4","32,6",16,36,"0,10","0,10",0
Kapusa,"63,5",158,"4,4","3,2","27,8",79,115,"0,06","0,05",0
Keddo bodong,"33,9",290,"4,6","5,7","55,2",0,0,0,0,0
"Kelepon, kue","49,6",215,"3,7","3,7","41,8",232,45,"0,09","0,07",0
Kereput,"3,5",580,"4,8","39,6","51,1",0,0,0,0,0
"Ketan hitam, matang","56,9",181,"4,0","1,2","37,3",9,144,"0,06",0,0
"Ketan putih, matang","60,7",163,"3,0","0,4","35,7",4,55,"0,07",0,0
Ketoprak,"69,1",153,"7,9","7,7","13,0",153,134,"0,05",0,0
Ketupat kandangan,"78,5",109,"2,2","5,2","13,4",0,0,0,0,0
Ketupat ketan,"52,0",212,"4,0","4,6","38,6",8,46,"0,07",0,0
Koya,"13,2",366,"4,2","4,3","77,5",153,222,0,0,0
Koya mirasa,"7,2",370,"8,0","1,0","82,2",83,110,"0,19","0,45",0
Koyabu,"44,2",241,"3,4","4,3","47,2",0,0,0,0,0
Kue ali,"12,8",440,"3,8","18,5","64,5",27,47,"0,13","0,09",0
Kue bangen,"5,6",442,"3,3","14,7","74,2",0,0,0,0,0
Kue gelang,"7,1",448,"5,8","16,1","70,0",0,0,0,0,0
Kue jahe,"3,7",425,"1,6","8,8","84,6",155,61,"0,20",0,0
Kue kelapa,"3,3",591,"5,6","42,1","47,5",32,180,0,0,0
Kue koa,"14,5",340,"4,8","0,4","79,3",0,0,0,0,0
Kue ku temu,"46,2",214,"3,5","0,2","49,6",0,0,0,0,0
Kue lumpur,"40,1",291,"3,6","11,1","44,1",96,60,"0,24",0,0
Kue pelita,"71,0",141,"5,3","5,5","17,6",0,0,0,0,0
Kue putu cangkir,"32,6",304,"5,3","7,0","54,9",18,193,"0,06",0,0
Kue sus,"56,6",221,"7,5","10,2","24,8",105,85,"0,12",0,0
Kue thipan,"43,0",247,"2,9","4,2","49,5",16,107,"0,17",0,0
Laksa/Putu mayang,"73,2",121,"1,7","3,4","21,1",0,0,0,0,0
Lapis legit,"21,3",389,"6,6","15,7","55,5",16,136,"0,26","0,09",0
Lupis ketan,"61,0",164,"1,8","2,1","34,5",119,31,"0,09",0,0
"Maizena, tepung","14,0",341,"0,3",0,"85,0",20,30,0,"0,09",0
"Makaroni, mentah","11,7",353,"8,7","0,4","78,7",20,80,"0,10","0,13",0
Manan samin,"27,1",379,"3,4","18,1","50,6",0,0,0,0,0
Martabak india,"65,8",153,"4,5","4,2","24,3",14,108,0,0,0
Martabak mesir,"40,2",278,"5,1","8,6","45,0",49,168,0,0,0
Masekat,"15,6",369,"2,1","7,0","74,1",17,52,0,0,0
Mi basah,"80,0",88,"0,6","3,3","14,0",14,13,0,0,0
Mi kering,"10,6",339,"10,0","1,7","6,3",31,143,0,"0,08",0
Mie aceh rebus,"74,6",113,"3,0","3,2","18,1",22,44,0,0,0
Mie ayam,"78,6",102,"6,2","3,9","10,5",262,51,"0,85",0,0
Mie bakso,"74,5",114,"5,3","3,0","16,4",286,53,"0,16",0,0
Mie celon,"75,9",102,"3,0","2,1","17,8",12,84,0,0,0
Mie pangsit basah,"79,2",105,"5,9","4,9","9,4",208,48,"0,46",0,0
Misoa,"10,0",345,"8,5","2,2","78,0",52,120,0,"0,02",0
Nasi,"56,7",180,"3,0","0,3","39,8",25,27,"0,05","0,10",0
Nasi beras merah,"64,0",149,"2,8","0,4","32,5",6,63,"0,06",0,0
Es krim,"62,1",210,"4,0","12,5","20,6",123,99,"0,04","0,23",1
Hangop,"84,0",65,"10,0","1,0","3,5",180,190,"0,03","0,43",0
Keju,"38,5",326,"22,8","20,3","13,1",777,338,"0,01","0,37",1
"Kepala susu - krim, segar","72,5",204,"2,6","20,0","4,0",97,77,"0,03","0,20",1
Kwark (Quark),"59,0",242,"19,0","17,0","3,0",300,350,"0,03","0,38",0
"Susu asam untuk bayi, bubuk","2,5",418,"19,0","9,0","65,5",800,600,"1,00","1,31",30
Susu bubuk,"3,5",513,"24,6","30,0","36,2",904,694,"0,29","1,39",6
Susu ibu - ASI,"88,1",62,"1,5","3,2","7,0",34,20,"0,01","0,03",0
"Susu kambing, segar","85,9",64,"4,3","2,3","6,6",98,78,"0,06","0,45",1
Susu kental manis,"25,0",343,"8,2","10,0","55,0",275,209,"0,05","0,43",1
Susu kental tak manis,"73,7",138,"7,0","7,9","9,9",243,195,"0,05",0,1
"Susu kerbau, segar","73,8",160,"6,3","12,0","7,1",216,101,"0,04","0,07",1
"Susu kuda, segar","91,0",40,"2,0","1,1","5,4",0,0,0,"0,20",0
"Susu sapi, segar","88,3",61,"3,2","3,5","4,3",143,60,"0,03","0,18",1
"Susu skim, bubuk","3,5",359,"35,6","1,0","52,0","1,3","1,03","0,35","1,05",7
"Susu skim, segar","90,5",36,"3,5","0,1","5,1",123,97,"0,04",0,1
"Yoghurt, segar","88,0",52,"3,3","2,5","4,0",120,90,"0,04","0,10",0
"Bayau mi balu, masakan","36,1",313,"6,0","12,2","44,8",0,0,"0,14","0,27",0
"Cucuru bayau, masakan","35,0",349,"6,8","18,7","38,3",0,0,"0,06","0,25",0
